Original Feature,Coefficient
CompOnOff^2,3608599479.337795
CompOnOff,926119147.8530538
StopOnOff^2,648686051.1893888
StopOnOff,162813975.3363185
MotorTorque ActualSpeed,364652.2276522219
MotorTorque,354355.2803204479
BatMinV,254585.2568854063
BatSOC,166273.26517506002
ActualSpeed,112041.9247076362
SpeedChange,76291.83380076452
FC2AirFlow,73203.89804173243
H2Press^2,54253.20185475983
ActualSpeed SpeedChange,52718.69457959384
CompOnOff BatMinV,52674.894203264266
H2Press H2Perc,52571.74971131794
StopOnOff BatMinV,52264.75001385063
BatMinV ActualSpeed,50046.758588053286
H2Weight H2Press,47197.08026978932
ThrottlePerc BatMinV,45245.102765098214
H2Weight H2Perc,44199.38773189485
CompOnOff H2Perc,38273.764950010926
FC2AirFlow FC3Volt,37873.25249687582
StopOnOff H2Perc,36026.705977621954
MotorTorque SpeedChange,35953.83212354779
CompOnOff BatSOC,30002.710687443614
H2Press BatSOC,29763.87017057836
ThrottlePerc,29343.854401676035
StopOnOff BatSOC,28356.781253039837
BatMinV H2Press,27756.732952311635
BrakePerc,27079.323218448684
H2Press H2Temp,27039.374500766397
ThrottlePerc BatSOC,27023.514446944
BatMinV BatSOC,25942.770014166832
BatSOC ActualSpeed,24517.237890198827
BatMinV H2Weight,24447.242596909404
BrakePerc ActualSpeed,23113.903979174793
H2Press AirTemp,22671.111437909305
FC3Volt,22065.257145569427
MotorTorque CompOnOff,21993.86197404946
H2Temp H2Perc,20829.93864540942
BatMinV^2,20464.944040179253
CompPower,20291.47086285938
ThrottlePerc SpeedChange,19996.819832623005
CompOnOff ActualSpeed,19917.581310145557
MotorTorque StopOnOff,19615.431912419095
BatMinV SpeedChange,18720.222939260304
AirTemp H2Perc,18373.032961688936
CompOnOff H2Press,18307.235636567697
MotorTorque^2,18074.61753170303
StopOnOff H2Weight,18029.499665508512
H2Weight BatSOC,17717.663048133254
H2Weight,16593.37648707469
CompOnOff H2Weight,15917.469654099084
BatSOC^2,15652.170866414905
AirTemp,15209.211380514367
CompPower ActualSpeed,14961.253467094153
MotorTorque BatMinV,14682.81924602418
BatSOC H2Perc,14026.406592506915
StopOnOff H2Press,12653.050123599183
H2Perc,12540.373223902243
BatSOC SpeedChange,11781.056815877557
StopOnOff ActualSpeed,11285.318359360099
MotorTemp H2Weight,11008.609604470432
CompOnOff CompPower,10846.90757008642
CompOnOff MotorTemp,10318.677946243435
MotorTorque ThrottlePerc,10224.679617312111
ThrottlePerc^2,9893.627268254757
StopOnOff MotorTemp,9762.500710161403
NetWeight SpeedChange,9713.266809556633
MotorTorque H2Weight,9518.551369768044
MotorTorque MotorTemp,9240.68856384651
ActualSpeed^2,8774.20205975324
ThrottlePerc H2Weight,8736.370756424963
CompOnOff FC2AirFlow,8485.416556701064
BatMinV NetWeight,8412.099561162293
BatMinV H2Perc,7871.1440818831325
MotorTorque BatSOC,7618.885668635368
ThrottlePerc CompOnOff,7616.04207791388
BatMinV AirTemp,7562.688090406358
FC2AirFlow^2,7468.303225785494
H2Temp,7061.256774540168
H2Weight H2Temp,7048.293382771313
StopOnOff FC2AirFlow,7043.947064554319
FC2AirFlow H2Press,6925.831622483209
ThrottlePerc CompPower,6470.785009946674
FC2AirFlow H2Perc,6452.909713607281
StopOnOff ThrottlePerc,6392.865614444017
BatSOC NetWeight,6302.639167541638
FC2AirFlow BatMinV,6200.453416656703
MotorTemp H2Press,5996.7696896232665
ThrottlePerc H2Perc,5939.124080594629
AirTemp ActualSpeed,5647.911701864563
BatSOC AirTemp,5517.993470064364
MotorTemp BatSOC,5291.6568275708705
MotorTorque H2Press,5154.856324116452
H2Weight AirTemp,5111.402329597622
H2Temp AirTemp,4969.823194385506
ThrottlePerc FC2AirFlow,4933.399390175939
MotorTemp H2Perc,4807.179391724989
NetWeight^2,4799.918785106391
H2Press NetWeight,4733.180980030913
