;datetime;MotorJoules;ActualSpeed;NetWeight;DistanceKM;StopOnOff;ThrottlePerc;MotorUseCurrent;CompOnOff;FC1Current;FC2Current;FC3Current;MotorTemp;TotalFCPower;FC1AirFlow;FC3AirFlow;FC2AirFlow;BatTotalCurrent;BattOutputPower;MotorTorque;FC1Cool;FC2Cool;FC3Cool;TotalDistance;CompPower;FC3Volt;FC1Volt;FC2Volt;BatMaxV;BatTotalVoltage;BatMinV;HVACDraw;H2Weight;H2Press;BrakePerc;Signal;Is_Wednesday;BatSOC;Is_Friday;H2Temp;Is_Sunday;AirTemp;Is_Saturday;Is_Thursday;Is_Monday;Is_Tuesday;TotalPowerDraw;MotorRPM;TotalAxle;H2Perc;AltChange;SpeedChange
datetime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MotorJoules;;;;;;;;0.9988328230399748;;;;;;;;;;0.849391131113632;0.8406781962908234;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9811860911978121;;;;;
ActualSpeed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.000.000.000.000.000;;;;
NetWeight;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.999950605255142;;;
DistanceKM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
StopOnOff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ThrottlePerc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MotorUseCurrent;;0.9988328230399748;;;;;;;;;;;;;;;;0.8503176809144419;0.839501066848639;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9794780171852482;;;;;
CompOnOff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FC1Current;;;;;;;;;;;0.9999701074519967;0.9999635204611448;;0.990188614245397;0.818610920476848;0.8068711636521558;0.8100270283647806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FC2Current;;;;;;;;;;0.9999701074519967;;0.9999772747647396;;0.9901268051066068;0.8186252933347528;0.8068771576939442;0.8100375214580133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FC3Current;;;;;;;;;;0.9999635204611448;0.9999772747647396;;;0.9901910244990941;0.8188698503779281;0.8071212410124908;0.8102751623713254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MotorTemp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TotalFCPower;;;;;;;;;;0.990188614245397;0.9901268051066068;0.9901910244990941;;;0.8168898354106002;0.8051503708519085;0.8083596644304464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
