,MAE,MSE,RMSE,R²
Base Degree 2,118534.17821185563,71007156834.69922,266471.6811120822,0.6131927290074305
Degree 2 + DistanceKM,118965.80123826241,69298055432.94278,263245.23819614056,0.6224884715278837
Degree 2 + StopOnOff,118792.91737180701,70473274731.15938,265468.0295839018,0.61610585178825
Degree 2 + ThrottlePerc,115854.40887022289,45311991439.54594,212866.1350228024,0.7531365130409682
Degree 2 + MotorUseCurrent,6776.266412564177,292338587.29196787,17097.911781617306,0.9984071644635314
Degree 2 + CompOnOff,119006.58128573342,70494219991.74483,265507.47633869905,0.6159915282276366
Degree 2 + FC2Current,118910.64060250863,70843796985.85324,266164.9807654141,0.6140793287719195
Degree 2 + FC3Current,118914.23218469166,70843677944.91501,266164.757142855,0.6140799867566411
Degree 2 + MotorTemp,119354.4976664979,70909908739.53653,266289.14499005873,0.6137218097978521
Degree 2 + TotalFCPower,118976.51812955854,70857885297.39505,266191.4448238242,0.6140024146888633
Degree 2 + FC1AirFlow,118785.76201292404,70932904703.75926,266332.3200510206,0.6135943171786753
Degree 2 + FC3AirFlow,118738.68418228284,70937593685.05173,266341.1227825169,0.6135687558024301
Degree 2 + FC2AirFlow,118729.68963950539,70941745020.6087,266348.9159366126,0.6135461995267143
Degree 2 + BatTotalCurrent,90744.73666111722,22132194233.913383,148768.92899363558,0.8794297132098781
Degree 2 + BattOutputPower,89597.0166267675,21656445549.497894,147161.2909344638,0.8820225601858424
Degree 2 + MotorTorque,30930.270135342522,3470419565.885095,58910.26706682881,0.9810952213535918
Degree 2 + FC1Cool,118752.35580864118,70977355860.05075,266415.7575295627,0.6133545951283188
Degree 2 + FC2Cool,118747.60014659973,70969847071.96945,266401.66491966497,0.6133953469205158
Degree 2 + FC3Cool,118739.38046222262,70976333708.9552,266413.8391843697,0.6133600782274582
Degree 2 + TotalDistance,118160.94542985226,70979963100.51901,266420.650664544,0.6133406023231947
Degree 2 + CompPower,117738.50665547288,70870608483.04453,266215.3423134071,0.6139347307712758
Degree 2 + FC3Volt,118848.99034884483,70977088868.70488,266415.25644884695,0.6133552943757075
Degree 2 + FC1Volt,118884.03115529552,70976422405.3016,266414.0056477917,0.613358292628565
Degree 2 + FC2Volt,118850.74156338703,70979589057.61813,266419.9486855632,0.6133415339645438
Degree 2 + BatMaxV,117379.68708711665,66945619886.55808,258738.51643417546,0.6353331467637631
Degree 2 + BatTotalVoltage,117128.31583149583,65718463042.98258,256356.12542512533,0.6420203321789106
Degree 2 + BatMinV,117149.38036527636,65343372253.599304,255623.49706863667,0.6440637092876383
Degree 2 + HVACDraw,118780.9581295865,70925029337.1013,266317.53479089827,0.6136372101185916
Degree 2 + H2Weight,118460.32595771772,71001184342.40463,266460.4742591378,0.6132250114360579
Degree 2 + H2Press,118486.28672338677,71003446847.76045,266464.7197055559,0.6132126567448328
Degree 2 + BrakePerc,118749.6720115033,70064937856.86568,264697.8236723258,0.618317965609106
Degree 2 + Signal,118594.08703453392,70962936711.07092,266388.6947884067,0.613433332575568
Degree 2 + Is_Wednesday,118525.40861982263,71006563560.10252,266470.5679059181,0.6131962355964923
Degree 2 + BatSOC,119072.9218452441,70983149723.42961,266426.6310326909,0.6133246482683502
Degree 2 + Is_Friday,118549.31047420988,71008281442.10617,266473.79128557123,0.6131865497978172
Degree 2 + H2Temp,118610.82625448145,70993674057.6104,266446.38120569475,0.6132659136289043
Degree 2 + Is_Sunday,118534.17821185137,71007156834.69882,266471.68111208145,0.6131927290074327
Degree 2 + AirTemp,118633.11682101132,70919496041.14801,266307.1460572322,0.613671723378493
Degree 2 + Is_Saturday,118534.17821185137,71007156834.69882,266471.68111208145,0.6131927290074327
Degree 2 + Is_Thursday,118552.54599737967,71009922898.20955,266476.87122564606,0.6131777901162406
Degree 2 + Is_Monday,118546.16345855806,71009208732.14938,266475.53120718116,0.6131821075581161
Degree 2 + Is_Tuesday,118563.10190872585,71002919994.15273,266463.73110454023,0.6132155407256566
Degree 2 + TotalPowerDraw,42734.149470463555,4521405122.712824,67241.39441380453,0.9753590844385587
Degree 2 + MotorRPM,118534.17821187704,71007156834.70029,266471.6811120842,0.6131927290074246
Degree 2 + TotalAxle,118565.24149644384,71016709365.19,266489.60460999224,0.6131413795405894
Degree 2 + SpeedChange,118534.17821185358,71007156834.69876,266471.68111208134,0.613192729007433
