,MAE,MSE,RMSE,R²
Base Degree 3,109382.00797490447,64452112607.53011,253874.20626666688,0.6270454934263887
Degree 3 + BatMaxV,105419.726893805,58649410670.75466,242176.40403382544,0.6606286276854926
Degree 3 + BatMinV,103950.5263116395,56294305469.538124,237264.2102583913,0.6742467872432721
Degree 3 + BatSOC,108702.33213682142,64119548300.769264,253218.3806534772,0.6289650822733341
Degree 3 + BatTotalCurrent,68509.83256297422,17244194144.81769,131317.1509926167,0.9002229570284662
Degree 3 + BatTotalVoltage,104438.09297701815,56965039549.75863,238673.4998900352,0.6703704053126833
Degree 3 + CompOnOff,108446.90158117993,63707418836.73348,252403.2861052595,0.6313556592097963
Degree 3 + StopOnOff,108445.99472447317,63689046019.47827,252366.88772396086,0.6314621762420494
Degree 3 + ThrottlePerc,65501.03126853581,22657946153.269314,150525.56644394106,0.8688790300395919
Degree 3 + BrakePerc,108263.10273105053,62767459540.66256,250534.3480257,0.6368201293257252
Degree 3 + Signal,109193.59078763999,64368537292.885666,253709.5530185761,0.6275315510464665
Degree 3 + TotalDistance,110698.50522812926,65992057574.15962,256889.1931828967,0.6181560358691072
Degree 3 + FrontAxle,97345.39673834002,43519528411.39125,208613.3466760726,0.7481894112527594
Degree 3 + RearAxle1,101081.16868285509,52016905141.28288,228072.14898203348,0.6989116028350206
Degree 3 + RearAxle2,100963.21224032341,51143027630.95393,226148.2425997468,0.7040688782033947
Degree 3 + CompPower,107857.70024992022,64296908899.27229,253568.35153321538,0.627943150375968
Degree 3 + FC2AirFlow,109447.70170933826,64265137705.69716,253505.6956080024,0.6281243470959801
Degree 3 + FC2Cool,109241.42297921714,64287694980.24744,253550.1823707635,0.6279985453236863
Degree 3 + FC2Current,109216.85471883896,64104711482.71167,253189.0824714045,0.6290505059574993
Degree 3 + FC2Volt,109492.32693477263,64292710193.72024,253560.07215987347,0.6279673649296875
Degree 3 + FC3AirFlow,109462.1202800598,64261593716.61444,253498.7055521476,0.6281449681273504
Degree 3 + FC3Cool,109277.54369798435,64302417529.44014,253579.21352003625,0.6279130562428932
Degree 3 + FC3Current,109217.34919112606,64104474111.14508,253188.61370753834,0.6290519320369647
Degree 3 + FC3Volt,109517.84283168105,64286138070.74117,253547.112132521,0.6280042866835885
Degree 3 + FC1AirFlow,109415.35189741194,64255992784.66399,253487.65805195327,0.6281767818585859
Degree 3 + FC1Cool,109257.76936904024,64295728418.947105,253566.023786601,0.6279519310110301
Degree 3 + FC1Current,109219.82625611743,64105450047.29634,253190.54099096265,0.6290462682307258
Degree 3 + FC1Volt,109437.92067897976,64300774512.501976,253575.97384709376,0.627921350560159
Degree 3 + GPSAltitude,107129.91425148319,64236911173.67711,253450.01711121883,0.6282916179879126
Degree 3 + GPSLatitude,120706.39795909244,64582545280.53855,254130.96088540362,0.6262915665713982
Degree 3 + GPSLongitude,109298.39864954629,63523099306.80703,252037.89260110678,0.6324276118199641
Degree 3 + H2Perc,109406.96524391133,64449558938.120926,253869.17681774785,0.6270590345076437
Degree 3 + H2Press,108942.20801029075,64426657172.234375,253824.06736208915,0.627191778673265
Degree 3 + H2Temp,109200.30515400413,64353700610.98515,253680.31183161447,0.6276139154231319
Degree 3 + H2Weight,108919.36357455104,64428347135.60657,253827.3963456399,0.6271825705253508
Degree 3 + HVACDraw,109112.79800951955,64294374982.24188,253563.35496723867,0.6279610013244803
Degree 3 + MotorRPM,109382.00749672935,64452112474.398705,253874.2060044673,0.6270454941913125
Degree 3 + MotorTorque,26245.258727396198,2866415303.953531,53538.91392205795,0.9834157946473938
Degree 3 + MotorUseCurrent,6187.161345519393,268932039.5334786,16399.147524596472,0.9984443346234897
Degree 3 + MotorTemp,109071.7019792207,63920464128.07125,252824.96737480507,0.6301212548505605
Degree 3 + BattOutputPower,67967.84349930877,17002175656.695606,130392.39109969418,0.9016232556259236
Degree 3 + MotorPowerDraw,0.10459498916432255,0.04558363650944028,0.21350324707001597,0.9999999999997364
Degree 3 + TotalFCPower,109263.9663171641,64087098208.47971,253154.29723486764,0.6291531159588468
Degree 3 + TotalPowerDraw,27111.944383241207,2007922241.9792874,44809.845368839284,0.9883808539613377
Degree 3 + TotalAxle,109373.22381334135,64451351867.20586,253872.70799990662,0.6270512222005118
Degree 3 + AirTemp,109282.8272836709,64321863205.65816,253617.55303144568,0.6278026099182922
Degree 3 + Is_Friday,109381.29526289631,64466918315.22142,253903.36412742038,0.6269606896911777
Degree 3 + Is_Monday,109385.33273701288,64464532203.68962,253898.66522628593,0.6269739384192137
Degree 3 + Is_Saturday,109367.75632378567,64431494290.739334,253833.59566995723,0.6271644439914861
Degree 3 + Is_Sunday,109379.41368427775,64468440608.96714,253906.36189147987,0.6269514171854305
Degree 3 + Is_Thursday,109391.22315010622,64463196184.08683,253896.03420314944,0.6269818496002887
Degree 3 + Is_Tuesday,109394.7940183947,64469412565.23157,253908.2758896046,0.6269453856098942
Degree 3 + Is_Wednesday,109372.05008197797,64458965732.21521,253887.70299527154,0.6270057160521297
Degree 3 + EEM,117604.40641513742,236504170250.05777,486316.94423498935,-0.3631389038545435
Degree 3 + AltChange,98211.96643934512,102463118727.05101,320098.60781804565,0.41308974477327676
