,MAE_Train,MSE_Train,RMSE_Train,R²_Train,MAE_Test,MSE_Test,RMSE_Test,R²_Test
Base Model,118049.26124092274,69798321629.97993,264193.71989125694,0.6197741307891176,117541.64312750501,68840975295.59782,262375.63777073094,0.6283131525426042
Base + StopOnOff,117143.9334535943,69040975567.57518,262756.4948152094,0.6238997681704554,116561.30217641931,68014338077.273476,260795.58676724858,0.6327763400606574
Base + ThrottlePerc,70229.01058412096,24131444381.327496,155342.98948239503,0.8685441254039656,70407.43355133914,24172155574.849857,155473.970730955,0.8694894681069374
Base + CompOnOff,117176.94850378534,69060420861.94489,262793.4947100953,0.6237938400652929,116593.22591085904,68038100750.46731,260841.14083186208,0.632648040409924
Base + FC2Current,117930.93581088392,69435876268.36966,263506.8808748069,0.6217485493631099,117393.02643805309,68550516844.60774,261821.5362505685,0.6298813985690774
Base + FC3Current,117930.79337356029,69435993245.75049,263507.10283738177,0.6217479121296454,117392.1756066263,68549323737.25356,261819.2577662185,0.6298878404056326
Base + MotorTemp,117861.74131544835,69229210324.15857,263114.44339708635,0.6228743606496695,117198.13096486288,68158365564.99808,261071.5717288998,0.6319987054814016
Base + FC1AirFlow,118115.2942450979,69574393787.51659,263769.5846520531,0.6209939761457511,117640.71022944765,68726479748.52937,262157.35684609227,0.6289313379874653
Base + FC2AirFlow,118135.06476981934,69584460032.01831,263788.66547298484,0.620939140349188,117664.14562420768,68717746268.62978,262140.6993746484,0.6289784918750632
Base + FC1Cool,117996.14451591026,69619633111.32982,263855.32609998574,0.6207475352454873,117446.15724313675,68675208166.33797,262059.55080160304,0.6292081640008541
Base + FC2Cool,117983.89400877625,69604133427.52388,263825.95290744974,0.6208319696646822,117454.79045629346,68681550833.15829,262071.65209758625,0.6291739186139345
Base + TotalDistance,117423.12272113196,69609981622.19997,263837.0361078974,0.6208001116650613,117023.86925898652,68753230833.84743,262208.3729285688,0.628786903273616
Base + CompPower,116795.00687423952,69617836616.84804,263851.92176076345,0.6207573216366198,116328.56315096168,68652380221.35479,262015.99230076547,0.6293314168581574
Base + FC3Volt,118251.59417027122,69617282677.6023,263850.87204252766,0.6207603392167891,117759.04191705196,68736461963.63225,262176.39474909304,0.6288774419169012
Base + FC2Volt,118227.868644811,69623519119.42616,263862.68989651825,0.6207263662435445,117737.14888858791,68743942863.16423,262190.66128137405,0.6288370509731174
Base + BatMinV,112407.11776801554,61229335832.10454,247445.62196996846,0.6664536210285137,111735.63840603878,59960352495.14403,244868.03077401515,0.6762614954878561
Base + HVACDraw,117858.44756969591,69642240985.4028,263898.16404325893,0.6206243790094967,117384.77167501701,68660905813.14085,262032.2610159689,0.629285385402036
Base + H2Weight,117802.58736471058,69743083191.03575,264089.15765520505,0.6200750417991667,117305.62881650192,68794287722.65019,262286.6518194363,0.628565228529759
Base + H2Press,117828.14414417645,69746619501.34706,264095.85286661936,0.6200557777734634,117326.06128969084,68793271004.04129,262284.7136301338,0.628570718006526
Base + BrakePerc,116854.46952338683,67814183835.11928,260411.56624681494,0.6305827075581185,116528.77633921453,66942302663.624695,258732.10597763993,0.6385644838449493
Base + BatSOC,117657.51119544948,69445778937.82736,263525.67035836825,0.6216946046404557,117209.37867138293,68534798390.50377,261791.51703312268,0.6299662657957215
Base + H2Temp,118052.93123547875,69680548761.54662,263970.7346687254,0.6204156976667127,117595.60144218814,68716494427.092674,262138.31163546597,0.6289852508297764
Base + AirTemp,117929.3924531057,69642535972.5804,263898.7229460961,0.6206227720689086,117407.3287631049,68702954797.15574,262112.48500816541,0.62905835412829
Base + H2Perc,118038.28033352266,69764136810.29071,264129.01546458446,0.6199603523554335,117520.60189577514,68810763968.1623,262318.05879154085,0.6284762698285491
