Feature,VIF,Included_Feature
ActualSpeed,1.7207772083344717,DistanceKM
NetWeight,1.2500096053771104,DistanceKM
SpeedChange,1.434652687356063,DistanceKM
MotorJoules,2.0998390638503404,DistanceKM
DistanceKM,1.0000407584458673,DistanceKM
ActualSpeed,2.5776759216698424,StopOnOff
NetWeight,1.3169680220570925,StopOnOff
SpeedChange,1.4718615860132502,StopOnOff
MotorJoules,2.1149623466123373,StopOnOff
StopOnOff,2.256803264343716,StopOnOff
ActualSpeed,2.072291945410149,ThrottlePerc
NetWeight,1.441702582847415,ThrottlePerc
SpeedChange,1.4540577498211436,ThrottlePerc
MotorJoules,2.785353214455225,ThrottlePerc
ThrottlePerc,3.392621765885258,ThrottlePerc
ActualSpeed,1.7335756307140242,MotorUseCurrent
NetWeight,1.2500113730336686,MotorUseCurrent
SpeedChange,1.4734035742207148,MotorUseCurrent
MotorJoules,496.1323181714501,MotorUseCurrent
MotorUseCurrent,493.5005924047328,MotorUseCurrent
ActualSpeed,1.7849126552020598,CompOnOff
NetWeight,2.1255891040560266,CompOnOff
SpeedChange,1.4383120654380355,CompOnOff
MotorJoules,2.103023968589639,CompOnOff
CompOnOff,1.7205655345309971,CompOnOff
ActualSpeed,1.9790343769568368,FC2Current
NetWeight,1.332133272109191,FC2Current
SpeedChange,1.4435024506528977,FC2Current
MotorJoules,2.1025199143866415,FC2Current
FC2Current,1.4974314021086468,FC2Current
ActualSpeed,1.9784511967331029,FC3Current
NetWeight,1.33107354767769,FC3Current
SpeedChange,1.443479334864213,FC3Current
MotorJoules,2.10251149570882,FC3Current
FC3Current,1.4947032027490117,FC3Current
ActualSpeed,1.9620886020853379,MotorTemp
NetWeight,2.399737491229929,MotorTemp
SpeedChange,1.4438195892943149,MotorTemp
MotorJoules,2.1004087745104996,MotorTemp
MotorTemp,2.865391058044699,MotorTemp
ActualSpeed,1.9434695842834913,TotalFCPower
NetWeight,1.3455992411015556,TotalFCPower
SpeedChange,1.4425799889765805,TotalFCPower
MotorJoules,2.1019641696760054,TotalFCPower
TotalFCPower,1.470908163659593,TotalFCPower
ActualSpeed,1.917429225261589,FC1AirFlow
NetWeight,1.3568224082527502,FC1AirFlow
SpeedChange,1.440034248789758,FC1AirFlow
MotorJoules,2.100948518839533,FC1AirFlow
FC1AirFlow,1.4460472024002176,FC1AirFlow
ActualSpeed,1.913218744951665,FC3AirFlow
NetWeight,1.3546569669886155,FC3AirFlow
SpeedChange,1.4399534450144629,FC3AirFlow
MotorJoules,2.100939081250322,FC3AirFlow
FC3AirFlow,1.4368399638531149,FC3AirFlow
ActualSpeed,1.9130893322779354,FC2AirFlow
NetWeight,1.3550716807255156,FC2AirFlow
SpeedChange,1.439824954473956,FC2AirFlow
MotorJoules,2.100850693940453,FC2AirFlow
FC2AirFlow,1.4364102108974108,FC2AirFlow
ActualSpeed,1.9619513621485194,BatTotalCurrent
NetWeight,1.2501566264556871,BatTotalCurrent
SpeedChange,1.435534099810595,BatTotalCurrent
MotorJoules,6.278150509446935,BatTotalCurrent
BatTotalCurrent,4.219805478747766,BatTotalCurrent
ActualSpeed,1.9874833738341464,BattOutputPower
NetWeight,1.2501202314783275,BattOutputPower
SpeedChange,1.4348445181753353,BattOutputPower
MotorJoules,6.0957927587041105,BattOutputPower
BattOutputPower,4.059106790481165,BattOutputPower
ActualSpeed,1.8004689610276388,MotorTorque
NetWeight,1.2773156474677707,MotorTorque
SpeedChange,1.5262478183134613,MotorTorque
MotorJoules,3.499002720287354,MotorTorque
MotorTorque,2.6316484373497326,MotorTorque
ActualSpeed,1.888697372445182,FC1Cool
NetWeight,2.0910721075580287,FC1Cool
SpeedChange,1.439789395271267,FC1Cool
MotorJoules,2.1000144521237725,FC1Cool
FC1Cool,2.3406968532473837,FC1Cool
ActualSpeed,1.8842612135327779,FC2Cool
NetWeight,2.0759754839722193,FC2Cool
SpeedChange,1.4397281143286222,FC2Cool
MotorJoules,2.100036610058303,FC2Cool
FC2Cool,2.314749990727519,FC2Cool
ActualSpeed,1.8861724374510587,FC3Cool
NetWeight,2.082042333120243,FC3Cool
SpeedChange,1.4396913521795462,FC3Cool
MotorJoules,2.1000016747162435,FC3Cool
FC3Cool,2.324483450698279,FC3Cool
ActualSpeed,1.8389874878087453,TotalDistance
NetWeight,2.432235126772488,TotalDistance
SpeedChange,1.4389226988253725,TotalDistance
MotorJoules,2.1006317508123526,TotalDistance
TotalDistance,2.6471618467845346,TotalDistance
ActualSpeed,1.7273143299465608,CompPower
NetWeight,1.3374773937572029,CompPower
SpeedChange,1.4480603316373388,CompPower
MotorJoules,2.101887761158581,CompPower
CompPower,1.0773624167021176,CompPower
ActualSpeed,1.7922892155945769,FC3Volt
NetWeight,1.5024687507451138,FC3Volt
SpeedChange,1.4370586353266939,FC3Volt
MotorJoules,2.09994025227342,FC3Volt
FC3Volt,1.4436099714025845,FC3Volt
ActualSpeed,1.7918524231251671,FC1Volt
NetWeight,1.507137445978189,FC1Volt
SpeedChange,1.4369832187932177,FC1Volt
MotorJoules,2.0999532619276016,FC1Volt
FC1Volt,1.448933119710964,FC1Volt
ActualSpeed,1.7912851634404294,FC2Volt
NetWeight,1.5050219654959975,FC2Volt
SpeedChange,1.4369908784884422,FC2Volt
MotorJoules,2.099955925378746,FC2Volt
FC2Volt,1.4453712944696098,FC2Volt
ActualSpeed,1.8357072336607174,BatMaxV
NetWeight,2.3889805845372005,BatMaxV
SpeedChange,1.4384250080637562,BatMaxV
MotorJoules,2.0999722266970053,BatMaxV
BatMaxV,2.573223901006115,BatMaxV
ActualSpeed,1.8354480654866459,BatTotalVoltage
NetWeight,2.3884316299936366,BatTotalVoltage
SpeedChange,1.4384048852853535,BatTotalVoltage
MotorJoules,2.099926633927501,BatTotalVoltage
BatTotalVoltage,2.5698402253921326,BatTotalVoltage
ActualSpeed,1.8349911101618535,BatMinV
NetWeight,2.3877037145275213,BatMinV
SpeedChange,1.4384315101494598,BatMinV
MotorJoules,2.099905866039659,BatMinV
BatMinV,2.5667823957928726,BatMinV
ActualSpeed,1.7722785447953577,HVACDraw
NetWeight,1.420046768286079,HVACDraw
SpeedChange,1.4378477816390796,HVACDraw
MotorJoules,2.101163987444608,HVACDraw
HVACDraw,1.3190449604298617,HVACDraw
ActualSpeed,1.8055761698649784,H2Weight
NetWeight,2.0212127928852923,H2Weight
SpeedChange,1.437285786549233,H2Weight
MotorJoules,2.100222288730432,H2Weight
H2Weight,2.089865849143531,H2Weight
ActualSpeed,1.799448498568415,H2Press
NetWeight,1.948181011642931,H2Press
SpeedChange,1.4371058465980484,H2Press
MotorJoules,2.100223213075545,H2Press
H2Press,1.991825689100613,H2Press
ActualSpeed,1.7208029020378155,BrakePerc
NetWeight,1.3404688513385676,BrakePerc
SpeedChange,1.4925332575914692,BrakePerc
MotorJoules,2.0998856580030485,BrakePerc
BrakePerc,1.1459932353276827,BrakePerc
ActualSpeed,1.7510066105375095,Signal
NetWeight,1.4800263464467294,Signal
SpeedChange,1.435327593330397,Signal
MotorJoules,2.0998387859977603,Signal
Signal,1.3312431688236142,Signal
ActualSpeed,1.7276017106425419,Is_Wednesday
NetWeight,1.3511527930525524,Is_Wednesday
SpeedChange,1.4347392871261297,Is_Wednesday
MotorJoules,2.0998745251314426,Is_Wednesday
Is_Wednesday,1.1288440921848806,Is_Wednesday
ActualSpeed,1.7818876409116173,BatSOC
NetWeight,2.2308386489342213,BatSOC
SpeedChange,1.4365572322193085,BatSOC
MotorJoules,2.1001062043753103,BatSOC
BatSOC,2.2645887231039312,BatSOC
ActualSpeed,1.7314392216693968,Is_Friday
NetWeight,1.3594689489981386,Is_Friday
SpeedChange,1.4349894962587983,Is_Friday
MotorJoules,2.099874143134231,Is_Friday
Is_Friday,1.15109408892541,Is_Friday
ActualSpeed,1.7590674470801957,H2Temp
NetWeight,1.8405251745341538,H2Temp
SpeedChange,1.435632453261776,H2Temp
MotorJoules,2.099948866236787,H2Temp
H2Temp,1.7639949873452287,H2Temp
ActualSpeed,1.7207407007542188,Is_Sunday
NetWeight,1.250009556284282,Is_Sunday
SpeedChange,1.4346500675741687,Is_Sunday
MotorJoules,2.099838777331198,Is_Sunday
Is_Sunday,,Is_Sunday
ActualSpeed,1.775349762870749,AirTemp
NetWeight,1.9848430610253593,AirTemp
SpeedChange,1.4355307144259604,AirTemp
MotorJoules,2.099953296599659,AirTemp
AirTemp,1.9521720358390442,AirTemp
ActualSpeed,1.7207407007542188,Is_Saturday
NetWeight,1.250009556284282,Is_Saturday
SpeedChange,1.4346500675741687,Is_Saturday
MotorJoules,2.099838777331198,Is_Saturday
Is_Saturday,,Is_Saturday
ActualSpeed,1.7321920953527026,Is_Thursday
NetWeight,1.3499148356721804,Is_Thursday
SpeedChange,1.4349224131654421,Is_Thursday
MotorJoules,2.0998401513228035,Is_Thursday
Is_Thursday,1.1404694551673387,Is_Thursday
ActualSpeed,1.728148039846671,Is_Monday
NetWeight,1.3711092515285794,Is_Monday
SpeedChange,1.4350762391331113,Is_Monday
MotorJoules,2.1000680293239635,Is_Monday
Is_Monday,1.1586494032214258,Is_Monday
ActualSpeed,1.7286678595519094,Is_Tuesday
NetWeight,1.3398606841682554,Is_Tuesday
SpeedChange,1.434887719332308,Is_Tuesday
MotorJoules,2.099857850535941,Is_Tuesday
Is_Tuesday,1.1216814566559417,Is_Tuesday
ActualSpeed,1.7272744109818732,TotalPowerDraw
NetWeight,1.3371300610270274,TotalPowerDraw
SpeedChange,1.4480059432820762,TotalPowerDraw
MotorJoules,28.717195647630817,TotalPowerDraw
TotalPowerDraw,28.740816725874463,TotalPowerDraw
ActualSpeed,inf,MotorRPM
NetWeight,1.2500095562842821,MotorRPM
SpeedChange,1.4346500675741687,MotorRPM
MotorJoules,2.0998387773311977,MotorRPM
MotorRPM,inf,MotorRPM
ActualSpeed,1.8191493725540338,TotalAxle
NetWeight,3.786856684676644,TotalAxle
SpeedChange,1.4375210125480171,TotalAxle
MotorJoules,2.1000169389623085,TotalAxle
TotalAxle,4.078573568936508,TotalAxle
ActualSpeed,1.7207407007542188,SpeedChange
NetWeight,1.2500095562842821,SpeedChange
SpeedChange,inf,SpeedChange
MotorJoules,2.099838777331198,SpeedChange
SpeedChange,inf,SpeedChange
